Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Aeff_Hs,Aeff_H,Aeff_Es,Aeff_E,Old Aeff_Hs,Old Aeff_H,epsrh,epsrs,epsih,epsis
-15000,0,423.10175,9705.1,-29.486,0.006,3LR,14163.774 submature mafic highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,2,6.85,18.36892,38.35869,0.004239316,0.01847863,33.11123,69.1441,2.55,3.45,0.0011475,0.005578
-14700,1.8,423.10175,9683,-29.485,,,,,,,,,,,,,,,,,,,,,,,,
-14400,3.6,423.1015938,9670,-29.486,,,,,,,,,,,,,,,,,,,,,,,,
-14100,5.4,423.1014063,9703.7,-29.487,,,,,,,,,,,,,,,,,,,,,,,,
-13800,7.2,423.1012188,9701.9,-29.493,,,,,,,,,,,,,,,,,,,,,,,,
-13500,9,423.1018125,9715.2,-29.488,,,,,,,,,,,,,,,,,,,,,,,,
-13200,10.8,423.1015,9671.2,-29.488,,,,,,,,,,,,,,,,,,,,,,,,
-12900,12.6,423.1014688,9695.5,-29.488,,,,,,,,,,,,,,,,,,,,,,,,
-12600,14.4,423.1012188,9723.3,-29.49,,,,,,,,,,,,,,,,,,,,,,,,
-12300,16.2,423.1019375,9721.6,-29.49,,,,,,,,,,,,,,,,,,,,,,,,
-12000,18,423.101875,9673.6,-29.49,,,,,,,,,,,,,,,,,,,,,,,,
-11700,19.8,423.1016563,9660.7,-29.493,,,,,,,,,,,,,,,,,,,,,,,,
-11400,21.6,423.1015,9647.8,-29.493,,,,,,,,,,,,,,,,,,,,,,,,
-11100,23.4,423.1009688,9710.7,-29.493,,,,,,,,,,,,,,,,,,,,,,,,
-10800,25.2,423.1011875,9688,-29.493,,,,,,,,,,,,,,,,,,,,,,,,
-10500,27,423.1015,9686.6,-29.489,,,,,,,,,,,,,,,,,,,,,,,,
-10200,28.8,423.1014375,9699.8,-29.498,,,,,,,,,,,,,,,,,,,,,,,,
-9900,30.6,423.1016363,9668.3,-29.5,,,,,,,,,,,,,,,,,,,,,,,,
-9600,32.4,423.1018438,9673.6,-29.498,,,,,,,,,,,,,,,,,,,,,,,,
-9300,34.2,423.101625,9662.7,-29.498,,,,,,,,,,,,,,,,,,,,,,,,
-9000,36,423.101375,9659.7,-29.502,,,,,,,,,,,,,,,,,,,,,,,,
-8700,37.8,423.1015313,9649.1,-29.507,,,,,,,,,,,,,,,,,,,,,,,,
-8400,39.6,423.1014063,9681.2,-29.509,,,,,,,,,,,,,,,,,,,,,,,,
-8100,41.4,423.1014375,9659,-29.505,,,,,,,,,,,,,,,,,,,,,,,,
-7800,43.2,423.1015,9648.2,-29.502,,,,,,,,,,,,,,,,,,,,,,,,
-7500,45,423.100875,9654.5,-29.513,,,,,,,,,,,,,,,,,,,,,,,,
-7200,46.8,423.1007188,9652.1,-29.516,,,,,,,,,,,,,,,,,,,,,,,,
-6900,48.6,423.1004688,9652.7,-29.51,,,,,,,,,,,,,,,,,,,,,,,,
-6600,50.4,423.1012188,9643.8,-29.514,,,,,,,,,,,,,,,,,,,,,,,,
-6300,52.2,423.1008438,9656.7,-29.517,,,,,,,,,,,,,,,,,,,,,,,,
-6000,54,423.1010938,9666.3,-29.519,,,,,,,,,,,,,,,,,,,,,,,,
-5700,55.8,423.101625,9639.3,-29.523,,,,,,,,,,,,,,,,,,,,,,,,
-5400,57.6,423.1014063,9640,-29.521,,,,,,,,,,,,,,,,,,,,,,,,
-5100,59.4,423.1009688,9657.1,-29.526,,,,,,,,,,,,,,,,,,,,,,,,
-4800,61.2,423.1010938,9672.3,-29.526,,,,,,,,,,,,,,,,,,,,,,,,
-4500,63,423.1011875,9614.2,-29.528,,,,,,,,,,,,,,,,,,,,,,,,
-4200,64.8,423.1013438,9632.7,-29.529,,,,,,,,,,,,,,,,,,,,,,,,
-3900,66.6,423.1011875,9673.9,-29.524,,,,,,,,,,,,,,,,,,,,,,,,
-3600,68.4,423.100875,9655.5,-29.53,,,,,,,,,,,,,,,,,,,,,,,,
-3300,70.2,423.1009688,9646.8,-29.522,,,,,,,,,,,,,,,,,,,,,,,,
-3000,72,423.1007813,9640.3,-29.528,,,,,,,,,,,,,,,,,,,,,,,,
-2700,73.8,423.1008438,9647.9,-29.524,,,,,,,,,,,,,,,,,,,,,,,,
-2400,75.6,423.1008125,9663.8,-29.527,,,,,,,,,,,,,,,,,,,,,,,,
-2100,77.4,423.1012813,9618.5,-29.527,,,,,,,,,,,,,,,,,,,,,,,,
-1800,79.2,423.1012188,9660.4,-29.529,,,,,,,,,,,,,,,,,,,,,,,,
-1500,81,423.1010938,9639.8,-29.524,,,,,,,,,,,,,,,,,,,,,,,,
-1200,82.8,423.1009063,9634.2,-29.524,,,,,,,,,,,,,,,,,,,,,,,,
-900,84.6,423.1012188,9658.8,-29.525,,,,,,,,,,,,,,,,,,,,,,,,
-600,86.4,423.1009688,9647.9,-29.525,,,,,,,,,,,,,,,,,,,,,,,,
-300,88.2,423.1014063,9644.6,-29.532,,,,,,,,,,,,,,,,,,,,,,,,
0,90,423.1011875,9643.3,-29.527,,,,,,,,,,,,,,,,,,,,,,,,
